,Company_Name,Sector,Stage,Amount($),HeadQuarter,What it does,Funding Year,Founded,Founders,Investor
30,Chariot Tech,Internet of Things,Seed,240000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,N/A,N/A,N/A
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,N/A,N/A,N/A
32,Loanzen,Financial Services,Seed,,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,N/A,N/A,N/A
33,Mojro Technologies,Information Technology,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,N/A,N/A,N/A
34,Elemential,Blockchain,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,N/A,N/A,N/A
35,Loadshare,Industrial Automation,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,N/A,N/A,N/A
36,Yumlane,Food and Beverage,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,N/A,N/A,N/A
37,Kriger Campus,Education,Seed,360000.0,New Delhi,A Education Start Up.,2018,N/A,N/A,N/A
38,Pipa+Bella,E-Commerce,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,N/A,N/A,N/A
39,Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform.,2018,N/A,N/A,N/A
40,Chakr Innovation,Renewable Energy,Seed,,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,N/A,N/A,N/A
41,IndigoLearn,E-Learning,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,N/A,N/A,N/A
42,UClean,Clean Energy,Seed,480000.0,India,UClean is a tech enabled laundry service provider.,2018,N/A,N/A,N/A
43,Coutloot,E-Commerce,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,N/A,N/A,N/A
44,Letstrack,Apps,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,N/A,N/A,N/A
45,Pooltoo,Transportation,Seed,,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,N/A,N/A,N/A
46,Finzy,Financial Services,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,N/A,N/A,N/A
47,Fitternity,Fitness,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,N/A,N/A,N/A
48,Keito,Artificial Intelligence,Seed,,Pune,Building an Intelligent Digital Assistant.,2018,N/A,N/A,N/A
49,Tolet for Students,Hospitality,Seed,60000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,N/A,N/A,N/A
50,Chai Kings,Food and Beverage,Seed,240000.0,Chennai,Chai Kings is a tea retail chain,2018,N/A,N/A,N/A
51,Dainik Jagran,Media and Entertainment,Seed,480000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,N/A,N/A,N/A
52,Playtoome,Broadcasting,Seed,240000.0,Bengaluru,Playtoome is a live entertainment destination,2018,N/A,N/A,N/A
53,ONGO Framework,B2B,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,N/A,N/A,N/A
54,Notesgen,EdTech,Seed,150000.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,N/A,N/A,N/A
55,Arogya MedTech,Health Care,Seed,180000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,N/A,N/A,N/A
56,Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,N/A,N/A,N/A
57,myUpchar,Health Care,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,N/A,N/A,N/A
58,MissMalini Entertainment,N/A,Seed,1248000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,N/A,N/A,N/A
59,Rooter,Sports,Seed,540000.0,India,Rooter is a mobile-based platform,2018,N/A,N/A,N/A
60,ZestMoney,Big Data,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,N/A,N/A,N/A
61,alphaics Corporation,Cloud Computing,Seed,,Bengaluru,Advancing AI compute,2018,N/A,N/A,N/A
62,MyDentistChoice,Health Care,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,N/A,N/A,N/A
63,Sattviko,Food Processing,Angel,,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,N/A,N/A,N/A
64,Sensibull,Trading Platform,Seed,300000.0,Bangalore,Investment Management Platform,2018,N/A,N/A,N/A
65,Bombay Shaving Company,Consumer Goods,Series A,,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,N/A,N/A,N/A
66,MedCords,Wellness,Seed,316800.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,N/A,N/A,N/A
67,University Living,Education,Seed,,New Delhi,University Living is an online global student housing marketplace.,2018,N/A,N/A,N/A
68,&ME,Food and Beverage,Seed,,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,N/A,N/A,N/A
69,Enakshi,Fashion,Seed,96000.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,N/A,N/A,N/A
70,Ultraviolette Automotive,Automotive,Series A,720.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,N/A,N/A,N/A
71,Inthree Access,Consulting,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,N/A,N/A,N/A
72,BUGWORKS Research India,Biotechnology,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,N/A,N/A,N/A
73,Guardian.in,Health Care,Seed,,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,N/A,N/A,N/A
74,PrestLoans,Credit,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,N/A,N/A,N/A
75,Wimoxez,Internet,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,N/A,N/A,N/A
76,India Accelerator,Communities,Angel,,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,N/A,N/A,N/A
77,HappyEMI,Consumer,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,N/A,N/A,N/A
78,Wishup,Consumer Applications,Seed,,Azadpur,Premium Personal Assistance service,2018,N/A,N/A,N/A
79,Hansel.io,Mobile,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,N/A,N/A,N/A
80,Propelld,Education,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018,N/A,N/A,N/A
81,PivotRoots,Advertising,Series A,,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,N/A,N/A,N/A
82,ZiffyHomes,Marketplace,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,N/A,N/A,N/A
83,Carmesi,Health Care,Seed,408000.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,N/A,N/A,N/A
84,OckyPocky,E-Learning,Angel,,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,N/A,N/A,N/A
85,Racetrack,Artificial Intelligence,Seed,4104000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,N/A,N/A,N/A
86,WHR,Health Care,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,N/A,N/A,N/A
87,Asteria Aerospace,Aerospace,Seed,,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,N/A,N/A,N/A
88,FabAlley,E-Commerce,Series B,7200000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,N/A,N/A,N/A
89,Tranzmeo,Artificial Intelligence,Pre-Seed,,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,N/A,N/A,N/A
90,SBI Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,N/A,N/A,N/A
91,Studds Accessories,E-Commerce,Private Equity,12000000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,N/A,N/A,N/A
92,Design Cafe,Home Decor,Series B,24000000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,N/A,N/A,N/A
93,NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,N/A,N/A,N/A
94,Rays Power Infra,Energy,N/A,24000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,N/A,N/A,N/A
95,AuthMetrik,B2B,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,N/A,N/A,N/A
96,Khidki,Artificial Intelligence,Seed,,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,N/A,N/A,N/A
97,LetsTransport,Logistics,Series B,12000000.0,Bangalore,Lets transport is a logistics solution provider.,2018,N/A,N/A,N/A
98,Next Digital Solutions,Digital Marketing,Angel,1200.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,N/A,N/A,N/A
99,Portea Medical,Health Care,Debt Financing,3000000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,N/A,N/A,N/A
100,Aavas Financiers,Finance,Post-IPO Debt,24000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,N/A,N/A,N/A
101,Swiggy,Food Delivery,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,N/A,N/A,N/A
102,Milkbasket,E-Commerce,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,N/A,N/A,N/A
103,Nutrisattva (Proliva),Fitness,Angel,,Anand,Nutrisattva is a protein innovation compan,2018,N/A,N/A,N/A
104,Toppr,EdTech,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,N/A,N/A,N/A
105,Jagaran Microfin,N/A,Debt Financing,6600000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,N/A,N/A,N/A
106,Vivriti Capital,Financial Services,N/A,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,N/A,N/A,N/A
107,Be U Salons,Apps,Seed,360000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,N/A,N/A,N/A
108,Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,N/A,N/A,N/A
109,MobiKwik,Consumer Lending,Series E,2880000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,N/A,N/A,N/A
110,Stones2Milestones,E-Learning,Seed,,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,N/A,N/A,N/A
111,Generico,Health Care,Series A,,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,N/A,N/A,N/A
112,Adiuvo Diagnostics,Health Diagnostics,Seed,,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,N/A,N/A,N/A
113,DataTrained,EdTech,Seed,1440000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,N/A,N/A,N/A
114,OneAssist,Financial Services,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,N/A,N/A,N/A
115,Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,N/A,N/A,N/A
116,APAC Financial Services,Finance,Private Equity,30000000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,N/A,N/A,N/A
117,Moglix,B2B,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,N/A,N/A,N/A
118,SEDEMAC Mechatronics,Automotive,N/A,,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,N/A,N/A,N/A
119,MadGuy Labs,E-Learning,N/A,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,N/A,N/A,N/A
120,Dee Dee Labs,Embedded Systems,Seed,,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,N/A,N/A,N/A
121,FLEECA,N/A,Seed,,Jaipur,FLEECA is a Tyre Care Provider company.,2018,N/A,N/A,N/A
122,Shop101,Apps,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,N/A,N/A,N/A
123,FeedMyPockets,Advertising,Seed,528000.0,Bangalore City,On Demand Staffing Platform,2018,N/A,N/A,N/A
124,Housejoy,Beauty,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,N/A,N/A,N/A
125,Ambee,Health Care,Angel,,Bangalore,Ambee is an Environment analytics startup.,2018,N/A,N/A,N/A
126,FoodBuddy,Food Delivery,Seed,720000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,N/A,N/A,N/A
127,Ninjacart,AgTech,Series B,30000000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,N/A,N/A,N/A
128,Olly Smart Credit Card,Credit Cards,Seed,,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,N/A,N/A,N/A
129,Zestl,Software,Seed,,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,N/A,N/A,N/A
130,BYJU’S,EdTech,Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,N/A,N/A,N/A
131,Wakefit,Manufacturing,N/A,7800000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,N/A,N/A,N/A
132,Hero Electric,Manufacturing,N/A,19200000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,N/A,N/A,N/A
133,Pentation Analytics,Information Services,Seed,,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,N/A,N/A,N/A
134,PerkFinance,Consumer Lending,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,N/A,N/A,N/A
135,Roposo,Internet,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,N/A,N/A,N/A
136,Plum Goodness,Beauty,Series A,,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,N/A,N/A,N/A
137,Drstore,Hospital,Seed,,Mumbai,Drstore is a exclusive e- commerce platform.,2018,N/A,N/A,N/A
138,Wow Venue,Events,N/A,1500000.0,Mumbai,Wow Venue is an online platform.,2018,N/A,N/A,N/A
139,Chizel,3D Printing,Seed,,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,N/A,N/A,N/A
140,OTO Capital,Automotive,Seed,600000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,N/A,N/A,N/A
141,Boodmo,Automotive,Seed,840000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,N/A,N/A,N/A
142,Khabri,Apps,Seed,,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,N/A,N/A,N/A
143,MyNewCar.in,Automotive,N/A,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,N/A,N/A,N/A
144,HalaPlay Technologies,Digital Entertainment,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,N/A,N/A,N/A
145,PlanetSpark,E-Learning,Seed,192000.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,N/A,N/A,N/A
146,WheelsEMI,N/A,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,N/A,N/A,N/A
147,Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1230000.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,N/A,N/A,N/A
148,OYO,Hospitality,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,N/A,N/A,N/A
149,Quikr,Classifieds,Debt Financing,6600000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,N/A,N/A,N/A
150,Tabono,Sports,Seed,,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,N/A,N/A,N/A
151,LearnApp,Banking,Seed,240000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,N/A,N/A,N/A
152,Shopkirana,E-Commerce,N/A,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,N/A,N/A,N/A
153,Fric Bergen,N/A,N/A,,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,N/A,N/A,N/A
154,Articbot,Artificial Intelligence,Grant,14400.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,N/A,N/A,N/A
155,BuildSupply,Enterprise Resource Planning (ERP),Series A,3000000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018,N/A,N/A,N/A
156,Fusion Microfinance,Banking,Series E,62400000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,N/A,N/A,N/A
157,Any time Doctor,Software,Angel,,Chennai,Anytime Doctor is a Software company.,2018,N/A,N/A,N/A
158,Go Payments,Information Services,Corporate Round,,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,N/A,N/A,N/A
159,Guiddoo World,Audio,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,N/A,N/A,N/A
160,ION Energy,Energy,N/A,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,N/A,N/A,N/A
161,UnoTag,Artificial Intelligence,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,N/A,N/A,N/A
162,CivilCops,Government,Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018,N/A,N/A,N/A
163,Rockmetric,Information Technology,Grant,,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,N/A,N/A,N/A
164,Classworks India,Education,N/A,1200.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,N/A,N/A,N/A
165,Snapmint,Consumer Lending,Seed,,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,N/A,N/A,N/A
166,artbandhu,Digital Media,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,N/A,N/A,N/A
167,Survaider,Business Intelligence,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018,N/A,N/A,N/A
168,Credy,Credit,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,N/A,N/A,N/A
169,iChamp,E-Learning,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,N/A,N/A,N/A
170,Qandle,Software,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,N/A,N/A,N/A
171,Avishkaar Box,Children,Seed,600000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,N/A,N/A,N/A
172,Gegadyne Energy,Automotive,Angel,,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,N/A,N/A,N/A
173,HyperXchange,E-Commerce,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,N/A,N/A,N/A
174,Deftouch,N/A,Seed,,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,N/A,N/A,N/A
175,Doodhwala,Food Delivery,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,N/A,N/A,N/A
176,DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,N/A,N/A,N/A
177,FastFox,Rental,Series A,1200000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,N/A,N/A,N/A
178,BuyForexOnline,Travel,N/A,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,N/A,N/A,N/A
179,Colive.in,Consumer,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,N/A,N/A,N/A
180,Agricxlab Private Limited,B2B,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,N/A,N/A,N/A
181,Corefactors,N/A,Seed,,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,N/A,N/A,N/A
182,Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018,N/A,N/A,N/A
183,Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018,N/A,N/A,N/A
184,Shirsa Labs,Education,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,N/A,N/A,N/A
185,PetSutra,Veterinary,Seed,114000.0,Gurgaon,Gurugram-based Online petcare platform.,2018,N/A,N/A,N/A
186,Awaaz De,Internet,Angel,,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,N/A,N/A,N/A
187,PinkBlue,Health Care,Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,N/A,N/A,N/A
188,Eduvanz,Finance,Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,N/A,N/A,N/A
